Tanggal,IKM Konversi,Prediksi
1/1/2023,96.19,94.85366999
2/1/2023,97.92,94.98013276
3/1/2023,90.01,95.10659554
4/1/2023,93.64,95.23305832
5/1/2023,89.16,95.3595211
6/1/2023,93.75,95.48598388
7/1/2023,95.66,95.61244666
8/1/2023,95.36,95.73890944
9/1/2023,99.29,95.86537221
10/1/2023,96.05,95.99183499
11/1/2023,99.9,96.11829777
12/1/2023,98.8,96.24476055
1/1/2024,98.62,96.37122333
2/1/2024,98.87,96.49768611
3/1/2024,92.28,96.62414889
4/1/2024,97.96,96.75061166
5/1/2024,92.75,96.87707444
6/1/2024,98.52,97.00353722
7/1/2024,99.5,97.13
8/1/2024,95.44,97.25646278
9/1/2024,98.61,97.38292556
10/1/2024,99.31,97.50938834
11/1/2024,99.89,97.63585111
12/1/2024,96.88,97.76231389
1/1/2025,99.04,97.88877667
2/1/2025,99.43,98.01523945
3/1/2025,97.04,98.14170223
4/1/2025,98.71,98.26816501
5/1/2025,99.37,98.39462779
6/1/2025,98.82,98.52109056
7/1/2025,98.12,98.64755334
8/1/2025,99.05,98.77401612
9/1/2025,97.44,98.9004789
10/1/2025,96.23,99.02694168
11/1/2025,98.37,99.15340446
12/1/2025,98.44,99.27986724
1/1/2026,99.39,99.40633001
2/28/2026,,99.53279279
3/31/2026,,99.65925557
4/30/2026,,99.78571835
5/31/2026,,99.91218113
6/30/2026,,100.0386439
7/31/2026,,100.1651067
